Instrument,Date,Price,PE,Forward_PE
.IXIC,2006-06-30,2172.09,21.50358,19.87261
.IXIC,2006-07-31,2091.47,20.65104,19.76455
.IXIC,2006-08-31,2183.75,21.51825,21.1509
.IXIC,2006-09-29,2258.43,22.98044,22.0402
.IXIC,2006-10-31,2366.71,23.40747,22.75725
.IXIC,2006-11-30,2431.77,23.53411,23.32899
.IXIC,2006-12-29,2415.29,23.61129,23.31405
.IXIC,2007-01-31,2463.93,23.19641,20.52979
.IXIC,2007-02-28,2416.15,23.27787,20.41047
.IXIC,2007-03-30,2421.64,23.4219,20.4323
.IXIC,2007-04-30,2525.09,23.68528,21.60322
.IXIC,2007-05-31,2604.52,20.38388,22.1643
.IXIC,2007-06-29,2603.23,20.21962,21.89773
.IXIC,2007-07-31,2545.57,19.42367,21.4876
.IXIC,2007-08-31,2596.36,23.69915,21.66952
.IXIC,2007-09-28,2701.5,24.69926,22.38858
.IXIC,2007-10-31,2859.12,26.30055,23.31042
.IXIC,2007-11-30,2660.96,24.32519,22.04167
.IXIC,2007-12-31,2652.28,24.12425,21.96433
.IXIC,2008-01-31,2389.86,21.34811,17.61516
.IXIC,2008-02-29,2271.48,19.48919,16.91844
.IXIC,2008-03-31,2279.1,20.23182,17.32206
.IXIC,2008-04-30,2412.8,21.10055,18.58678
.IXIC,2008-05-30,2522.66,21.97317,19.44916
.IXIC,2008-06-30,2292.98,19.88078,17.79079
.IXIC,2008-07-31,2325.55,19.9724,18.46679
.IXIC,2008-08-29,2367.52,20.57347,18.84355
.IXIC,2008-09-30,2091.88,18.08021,16.62628
.IXIC,2008-10-31,1720.95,14.89916,14.05593
.IXIC,2008-11-28,1535.57,13.44647,12.99046
.IXIC,2008-12-31,1577.03,12.8721,13.10309
.IXIC,2009-01-30,1476.42,12.43377,13.2154
.IXIC,2009-02-27,1377.84,13.2349,12.85771
.IXIC,2009-04-30,1717.3,17.29339,16.46028
.IXIC,2009-05-29,1774.33,16.93898,16.91781
.IXIC,2009-06-30,1835.04,17.54982,17.54856
.IXIC,2009-07-31,1978.5,19.40833,18.63241
.IXIC,2009-09-30,2122.42,21.46128,19.82249
.IXIC,2009-10-30,2045.11,20.86239,18.60987
.IXIC,2009-12-31,2269.15,22.898,20.52885
.IXIC,2010-01-29,2147.35,19.82295,15.54182
.IXIC,2010-02-26,2238.26,20.99449,16.03555
.IXIC,2010-03-31,2397.96,22.30728,17.06502
.IXIC,2010-04-30,2461.19,21.10412,16.95021
.IXIC,2010-05-28,2257.04,19.16061,15.35265
.IXIC,2011-01-31,2700.08,17.52878,14.32523
.IXIC,2011-02-28,2782.27,17.9302,14.62186
.IXIC,2011-03-31,2781.07,18.78897,14.60026
.IXIC,2011-04-29,2873.54,18.58388,14.70706
.IXIC,2011-06-30,2773.52,17.47406,14.14183
.IXIC,2011-07-29,2756.38,16.15808,13.02792
.IXIC,2011-08-31,2579.46,15.06878,12.92489
.IXIC,2011-09-30,2415.4,14.14334,12.12311
.IXIC,2011-10-31,2684.41,15.52366,13.38464
.IXIC,2011-11-30,2620.34,15.97115,13.56425
.IXIC,2011-12-30,2605.15,15.83563,13.5935
.IXIC,2012-01-31,2813.84,16.38084,11.45307
.IXIC,2012-02-29,2966.89,17.17546,12.12263
.IXIC,2012-03-30,3091.57,17.91331,12.82413
.IXIC,2012-04-30,3046.36,17.05778,12.61232
.IXIC,2012-05-31,2827.34,11.64879,11.14796
.IXIC,2012-06-29,2935.05,12.13096,11.60564
.IXIC,2012-07-31,2939.52,12.22991,11.87735
.IXIC,2012-08-31,3066.96,10.70541,11.82488
.IXIC,2012-09-28,3116.23,10.83862,12.07811
.IXIC,2012-10-31,2977.23,7.68096,10.45479
.IXIC,2012-11-30,3010.24,8.11713,10.9838
.IXIC,2012-12-31,3019.51,8.08643,10.98239
.IXIC,2013-01-31,3142.13,8.13998,11.964
.IXIC,2013-02-28,3160.19,0.00814,12.26312
.IXIC,2013-03-28,3267.52,0.00173,12.72116
.IXIC,2013-04-30,3328.79,0.07218,13.12042
.IXIC,2013-05-31,3455.91,16.27596,13.39591
.IXIC,2013-06-28,3403.25,16.65837,15.79499
.IXIC,2013-07-31,3626.37,17.65411,17.32195
.IXIC,2013-08-30,3589.868,17.38877,17.11751
.IXIC,2013-09-30,3771.479,18.18855,17.87852
.IXIC,2013-10-31,3919.706,19.43519,18.64652
.IXIC,2013-11-29,4059.886,19.97342,19.26356
.IXIC,2013-12-31,4176.59,20.68982,19.86516
.IXIC,2014-01-31,4103.877,19.8068,18.00461
.IXIC,2014-02-28,4308.119,21.40404,18.79589
.IXIC,2014-03-31,4198.994,21.06483,18.41986
.IXIC,2014-04-30,4114.556,19.95258,17.8104
.IXIC,2014-05-30,4242.618,21.41171,18.57558
.IXIC,2014-06-30,4408.178,21.89716,19.15683
.IXIC,2014-07-31,4369.773,21.27426,18.55033
.IXIC,2014-08-29,4580.271,22.43462,19.38522
.IXIC,2014-09-30,4493.39,22.45641,19.05891
.IXIC,2014-10-31,4630.741,21.12407,19.51599
.IXIC,2014-11-28,4791.63,22.05199,20.38272
.IXIC,2014-12-31,4736.053,21.72973,20.10397
.IXIC,2015-01-30,4635.24,20.52321,17.57069
.IXIC,2015-02-27,4963.527,21.07193,18.96019
.IXIC,2015-03-31,4900.884,20.69842,18.86278
.IXIC,2015-04-30,4941.424,20.22456,19.11843
.IXIC,2015-05-29,5070.025,19.57271,19.46224
.IXIC,2015-06-30,4986.867,19.59855,19.10111
.IXIC,2015-07-31,5128.281,19.80672,19.75633
.IXIC,2015-08-31,4776.508,18.45492,18.52077
.IXIC,2015-09-30,4620.165,17.99144,18.07301
.IXIC,2015-10-30,5053.748,20.18744,19.69312
.IXIC,2015-11-30,5108.666,19.96529,20.08859
.IXIC,2015-12-31,5007.411,19.5879,19.73238
.IXIC,2016-01-29,4613.953,18.18675,16.92668
.IXIC,2016-02-29,4557.95,18.08316,16.80087
.IXIC,2016-03-31,4869.847,20.46176,17.99938
.IXIC,2016-04-29,4775.358,20.3381,17.87872
.IXIC,2016-05-31,4948.055,11.01603,18.55937
.IXIC,2016-06-30,4842.672,20.46428,18.38601
.IXIC,2016-07-29,5162.131,20.88987,19.6462
.IXIC,2016-08-31,5213.219,21.40556,19.65187
.IXIC,2016-09-30,5312.002,21.57665,19.91193
.IXIC,2016-10-31,5189.135,22.4757,19.45605
.IXIC,2016-11-30,5323.681,22.62228,19.89614
.IXIC,2016-12-30,5383.117,22.99288,20.23265
.IXIC,2017-01-31,5614.786,23.53385,19.05446
.IXIC,2017-02-28,5825.438,21.9338,19.80856
.IXIC,2017-03-31,5911.738,22.35575,19.94651
.IXIC,2017-04-28,6047.606,22.49098,20.53899
.IXIC,2017-05-31,6198.517,22.77113,21.00672
.IXIC,2017-06-30,6140.42,22.40805,20.58259
.IXIC,2017-07-31,6348.123,23.65404,21.31991
.IXIC,2017-08-31,6428.662,23.92368,21.62409
.IXIC,2017-09-29,6495.959,23.97348,21.94767
.IXIC,2017-10-31,6727.669,25.32411,22.35033
.IXIC,2017-12-29,6903.389,24.78094,23.06802
.IXIC,2018-01-31,7411.482,26.25125,20.96407
.IXIC,2018-02-28,7273.009,22.34818,20.11143
.IXIC,2018-03-29,7063.445,21.47926,19.53961
.IXIC,2018-04-30,7066.266,20.67985,19.2324
.IXIC,2018-05-31,7442.117,19.07807,20.13794
.IXIC,2018-06-29,7510.304,18.80318,20.29691
.IXIC,2018-07-31,7671.789,18.30903,20.65649
.IXIC,2018-08-31,8109.537,25.87214,21.84347
.IXIC,2018-09-28,8046.353,25.48764,21.99899
.IXIC,2018-10-31,7305.899,22.35223,19.5338
.IXIC,2018-11-30,7330.536,21.95256,19.67581
.IXIC,2018-12-31,6635.277,19.95388,17.88758
.IXIC,2019-01-31,7281.737,21.96397,18.62244
.IXIC,2019-02-28,7532.532,21.74855,19.42314
.IXIC,2019-03-29,7729.321,22.59358,20.05335
.IXIC,2019-04-30,8095.388,23.44394,21.18453
.IXIC,2019-05-31,7453.148,21.69776,19.54101
.IXIC,2019-06-28,8006.244,23.56447,21.13916
.IXIC,2019-07-31,8175.419,23.39517,21.34699
.IXIC,2019-08-30,7962.882,23.15765,21.1652
.IXIC,2019-09-30,7999.332,23.64308,21.47243
.IXIC,2019-10-31,8292.36,24.60241,22.25569
.IXIC,2019-11-29,8665.471,25.74595,23.24641
.IXIC,2019-12-31,8972.604,26.81934,24.17905
.IXIC,2020-01-31,9150.936,26.52211,21.82132
.IXIC,2020-02-28,8567.368,24.62581,20.59084
.IXIC,2020-03-31,7700.098,22.13901,19.50185
.IXIC,2020-04-30,8889.551,25.68655,24.88126
.IXIC,2020-05-29,9489.872,27.68763,27.31667
.IXIC,2020-06-30,10058.765,29.31699,29.07428
.IXIC,2020-07-31,10745.275,32.47327,30.76667
.IXIC,2020-08-31,11775.456,36.50394,32.27427
.IXIC,2020-09-30,11167.68,34.49588,30.39841
.IXIC,2020-10-30,10911.591,32.05449,28.93253
.IXIC,2020-11-30,12198.737,34.90309,31.40985
.IXIC,2020-12-31,12888.282,36.54309,33.38549
.IXIC,2021-01-29,13070.695,33.85964,27.78861
.IXIC,2021-02-26,13192.35,34.59652,27.35348
.IXIC,2021-03-31,13246.87,35.00633,27.40097
.IXIC,2021-04-30,13962.68,33.19983,27.2787
.IXIC,2021-05-28,13748.739,32.20327,26.72436
.IXIC,2021-06-30,14503.953,33.79213,26.76775
.IXIC,2021-07-30,14672.678,31.59544,27.77328
.IXIC,2021-08-31,15259.235,32.0897,28.47577
.IXIC,2021-09-30,14448.581,30.22056,27.10463
.IXIC,2021-10-29,15498.388,30.76886,28.84978
.IXIC,2021-11-30,15537.691,30.82904,28.92227
.IXIC,2021-12-31,15644.971,31.31717,29.03673
.IXIC,2022-01-31,14239.883,27.94128,24.98905
.IXIC,2022-02-28,13751.399,25.58486,
.IXIC,2022-03-31,14220.519,26.40037,
.IXIC,2022-04-29,12334.64,23.11951,
.IXIC,2022-05-31,12081.391,22.46659,
.IXIC,2022-06-30,11028.736,20.50382,19.77212
.IXIC,2022-07-29,12390.688,23.67083,22.89866
.IXIC,2022-08-31,11816.203,22.66473,21.85854
.IXIC,2022-09-30,10575.619,20.36766,19.65355
.IXIC,2022-10-31,10988.146,21.94722,19.7102
.IXIC,2022-11-30,11467.996,23.06587,22.08045
.IXIC,2022-12-30,10466.482,21.04922,19.12632
.IXIC,2023-01-31,11584.552,23.4757,21.38076
.IXIC,2023-03-31,12221.907,25.20902,23.17419
.IXIC,2023-04-28,12226.584,26.80726,23.07396
.IXIC,2023-06-30,13787.923,30.05458,25.91108
.IXIC,2023-07-31,14346.024,30.62635,26.61123
.IXIC,2023-08-31,14034.969,29.511,25.59277
.IXIC,2023-09-29,13219.322,27.75908,24.20355
.IXIC,2023-10-31,12851.238,26.1379,23.54946
.IXIC,2023-11-30,14226.218,28.75906,26.20337
.IXIC,2023-12-29,15011.352,17.48627,27.33659
.IXIC,2024-01-31,15164.012,17.3969,24.38306
.IXIC,2024-02-29,16091.922,14.26906,25.50392
.IXIC,2024-03-28,16379.458,14.55568,26.04184
.IXIC,2024-04-30,15657.822,17.44913,24.86907
.IXIC,2024-05-31,16735.015,18.51095,26.24531
.IXIC,2024-06-28,17732.603,19.71723,27.83619
.IXIC,2024-07-31,17599.4,19.41447,27.30216
.IXIC,2024-08-30,17713.624,19.13661,27.51999
.IXIC,2024-09-30,18189.17,19.74569,28.47485
.IXIC,2024-10-31,18095.151,19.47515,28.65388
.IXIC,2024-12-31,19310.792,31.03999,31.23716
.IXIC,2025-01-31,19627.441,15.84034,26.04887
.IXIC,2025-02-28,18847.279,14.62166,25.15145
.IXIC,2025-03-31,17299.287,12.86794,23.05957
.IXIC,2025-04-30,17446.342,9.49748,23.41957
.IXIC,2025-05-30,19113.767,9.9873,25.55779
.IXIC,2025-06-30,20369.733,31.90658,26.19541
.IXIC,2025-07-31,21122.448,31.98602,28.61405
.IXIC,2025-08-29,21455.552,32.42845,28.172
.IXIC,2025-09-30,22660.009,33.62326,30.13894
.IXIC,2025-10-31,23724.957,34.24184,31.27654
.IXIC,2025-11-28,23365.686,31.88886,28.40314
.IXIC,2025-12-31,23241.991,29.87138,30.98576
.IXIC,2026-01-30,23461.816,29.03806,24.61685
.IXIC,2026-03-31,21590.629,21.86044,0.03094
.IXIC,2026-04-30,24892.313,15.56309,0.03571
.IXIC,2026-05-29,26972.62,27.8695,0.00152
